	manual_annotation
4384-MTL_WM	Oligodendrocytes
4388-MTL_WM	Oligodendrocytes
4405-MTL_WM	Oligodendrocytes
4422-MTL_WM	Oligodendrocytes
4425-MTL_WM	Oligodendrocytes
4430-MTL_WM	Oligodendrocytes
4440-MTL_WM	Astrocytes
4468-MTL_WM	Astrocytes
4481-MTL_WM	Oligodendrocytes
4500-MTL_WM	Oligodendrocytes
4516-MTL_WM	Astrocytes
4519-MTL_WM	Oligodendrocytes
4630-MTL_WM	Oligodendrocytes
4632-MTL_WM	Astrocytes
4698-MTL_WM	Astrocytes
4715-MTL_WM	OPCs
4749-MTL_WM	Oligodendrocytes
4765-MTL_WM	Oligodendrocytes
4808-MTL_WM	Oligodendrocytes
4821-MTL_WM	Oligodendrocytes
4842-MTL_WM	Oligodendrocytes
4922-MTL_WM	Oligodendrocytes
4934-MTL_WM	Oligodendrocytes
4951-MTL_WM	Oligodendrocytes
4964-MTL_WM	Astrocytes
4978-MTL_WM	Oligodendrocytes
4983-MTL_WM	Oligodendrocytes
5001-MTL_WM	Oligodendrocytes
5003-MTL_WM	Astrocytes
5012-MTL_WM	Oligodendrocytes
5016-MTL_WM	Oligodendrocytes
5017-MTL_WM	Oligodendrocytes
5026-MTL_WM	OPCs
5038-MTL_WM	Microglia
5088-MTL_WM	Oligodendrocytes
5097-MTL_WM	Oligodendrocytes
5109-MTL_WM	Astrocytes
5128-MTL_WM	OPCs
5155-MTL_WM	OPCs
5158-MTL_WM	Oligodendrocytes
5164-MTL_WM	Astrocytes
5166-MTL_WM	Oligodendrocytes
5201-MTL_WM	Astrocytes
5259-MTL_WM	Oligodendrocytes
5263-MTL_WM	Microglia
5266-MTL_WM	Oligodendrocytes
5277-MTL_WM	Oligodendrocytes
5317-MTL_WM	Astrocytes
5338-MTL_WM	Astrocytes
5361-MTL_WM	Oligodendrocytes
5407-MTL_WM	Oligodendrocytes
5460-MTL_WM	Microglia
5463-MTL_WM	Oligodendrocytes
5481-MTL_WM	Inh. Neurons
5484-MTL_WM	Microglia
5494-MTL_WM	Oligodendrocytes
5508-MTL_WM	Astrocytes
5532-MTL_WM	OPCs
5558-MTL_WM	Astrocytes
5612-MTL_WM	Astrocytes
5620-MTL_WM	Oligodendrocytes
5657-MTL_WM	Oligodendrocytes
5695-MTL_WM	Astrocytes
5708-MTL_WM	Microglia
5716-MTL_WM	Astrocytes
5779-MTL_WM	Oligodendrocytes
5848-MTL_WM	Oligodendrocytes
5853-MTL_WM	Oligodendrocytes
5915-MTL_WM	Astrocytes
5922-MTL_WM	Microglia
5941-MTL_WM	Inh. Neurons
5946-MTL_WM	Astrocytes
5949-MTL_WM	Oligodendrocytes
5966-MTL_WM	OPCs
5976-MTL_WM	Oligodendrocytes
5998-MTL_WM	Oligodendrocytes
6031-MTL_WM	Oligodendrocytes
6046-MTL_WM	Astrocytes
6062-MTL_WM	Oligodendrocytes
6087-MTL_WM	Oligodendrocytes
6125-MTL_WM	OPCs
6156-MTL_WM	Astrocytes
6158-MTL_WM	Oligodendrocytes
6161-MTL_WM	Oligodendrocytes
6167-MTL_WM	Oligodendrocytes
6180-MTL_WM	VLMCs
6195-MTL_WM	Astrocytes
6225-MTL_WM	Oligodendrocytes
6259-MTL_WM	Oligodendrocytes
6273-MTL_WM	Oligodendrocytes
6279-MTL_WM	OPCs
6293-MTL_WM	Oligodendrocytes
6316-MTL_WM	Astrocytes
6337-MTL_WM	Oligodendrocytes
6357-MTL_WM	Microglia
6365-MTL_WM	Oligodendrocytes
6379-MTL_WM	Oligodendrocytes
6388-MTL_WM	Oligodendrocytes
6423-MTL_WM	Astrocytes
6445-MTL_WM	Oligodendrocytes
6450-MTL_WM	Astrocytes
6470-MTL_WM	Oligodendrocytes
6503-MTL_WM	Oligodendrocytes
6541-MTL_WM	VLMCs
6593-MTL_WM	Astrocytes
6595-MTL_WM	Oligodendrocytes
6600-MTL_WM	Oligodendrocytes
6616-MTL_WM	Oligodendrocytes
6647-MTL_WM	Oligodendrocytes
6669-MTL_WM	Astrocytes
6698-MTL_WM	Oligodendrocytes
6707-MTL_WM	Oligodendrocytes
6710-MTL_WM	Astrocytes
6713-MTL_WM	Oligodendrocytes
