	manual_annotation
83923-PAR_WM	Oligodendrocytes
83969-PAR_WM	Astrocytes
83971-PAR_WM	Oligodendrocytes
83974-PAR_WM	Oligodendrocytes
84094-PAR_WM	Oligodendrocytes
84097-PAR_WM	Oligodendrocytes
84110-PAR_WM	OPCs
84168-PAR_WM	Oligodendrocytes
84188-PAR_WM	Oligodendrocytes
84194-PAR_WM	Oligodendrocytes
84226-PAR_WM	Oligodendrocytes
84268-PAR_WM	Oligodendrocytes
84269-PAR_WM	Oligodendrocytes
84333-PAR_WM	Oligodendrocytes
84357-PAR_WM	Oligodendrocytes
84409-PAR_WM	Oligodendrocytes
84425-PAR_WM	OPCs
84436-PAR_WM	Oligodendrocytes
84456-PAR_WM	Oligodendrocytes
84498-PAR_WM	Astrocytes
84509-PAR_WM	Oligodendrocytes
84548-PAR_WM	Oligodendrocytes
84582-PAR_WM	Oligodendrocytes
84600-PAR_WM	Oligodendrocytes
84621-PAR_WM	Oligodendrocytes
84674-PAR_WM	Oligodendrocytes
84717-PAR_WM	Oligodendrocytes
84718-PAR_WM	Microglia
84731-PAR_WM	Oligodendrocytes
84767-PAR_WM	Oligodendrocytes
84803-PAR_WM	Oligodendrocytes
84817-PAR_WM	Oligodendrocytes
84840-PAR_WM	Oligodendrocytes
84847-PAR_WM	Oligodendrocytes
84864-PAR_WM	Oligodendrocytes
84867-PAR_WM	Oligodendrocytes
84901-PAR_WM	Oligodendrocytes
84947-PAR_WM	Oligodendrocytes
84960-PAR_WM	Astrocytes
84993-PAR_WM	Oligodendrocytes
85033-PAR_WM	Oligodendrocytes
85046-PAR_WM	Oligodendrocytes
85048-PAR_WM	Oligodendrocytes
85141-PAR_WM	Oligodendrocytes
85167-PAR_WM	Oligodendrocytes
85193-PAR_WM	Oligodendrocytes
85194-PAR_WM	Oligodendrocytes
85244-PAR_WM	Oligodendrocytes
85250-PAR_WM	Oligodendrocytes
85259-PAR_WM	Oligodendrocytes
85280-PAR_WM	Oligodendrocytes
85289-PAR_WM	Oligodendrocytes
85341-PAR_WM	Oligodendrocytes
85417-PAR_WM	Oligodendrocytes
85423-PAR_WM	OPCs
85429-PAR_WM	Oligodendrocytes
85453-PAR_WM	Oligodendrocytes
85502-PAR_WM	Oligodendrocytes
85589-PAR_WM	OPCs
85593-PAR_WM	Oligodendrocytes
85606-PAR_WM	Microglia
85636-PAR_WM	Oligodendrocytes
85667-PAR_WM	Oligodendrocytes
85678-PAR_WM	Inh. Neurons
85696-PAR_WM	Oligodendrocytes
85701-PAR_WM	Oligodendrocytes
85706-PAR_WM	Oligodendrocytes
85712-PAR_WM	Microglia
85743-PAR_WM	Oligodendrocytes
85763-PAR_WM	Oligodendrocytes
85832-PAR_WM	Endothelial
85874-PAR_WM	Oligodendrocytes
85891-PAR_WM	Oligodendrocytes
85924-PAR_WM	Oligodendrocytes
85944-PAR_WM	Oligodendrocytes
85967-PAR_WM	Oligodendrocytes
85977-PAR_WM	Oligodendrocytes
85983-PAR_WM	Oligodendrocytes
86052-PAR_WM	Oligodendrocytes
86068-PAR_WM	Microglia
86090-PAR_WM	Oligodendrocytes
86117-PAR_WM	Oligodendrocytes
86121-PAR_WM	Microglia
86199-PAR_WM	Oligodendrocytes
86223-PAR_WM	Oligodendrocytes
86231-PAR_WM	Oligodendrocytes
86235-PAR_WM	Astrocytes
86259-PAR_WM	Oligodendrocytes
86324-PAR_WM	Oligodendrocytes
86327-PAR_WM	Oligodendrocytes
86360-PAR_WM	Oligodendrocytes
86366-PAR_WM	Oligodendrocytes
86428-PAR_WM	Oligodendrocytes
86457-PAR_WM	Oligodendrocytes
86482-PAR_WM	Oligodendrocytes
86532-PAR_WM	Oligodendrocytes
86558-PAR_WM	Oligodendrocytes
86782-PAR_WM	Oligodendrocytes
86788-PAR_WM	Oligodendrocytes
86794-PAR_WM	Oligodendrocytes
86796-PAR_WM	Oligodendrocytes
86824-PAR_WM	Oligodendrocytes
86855-PAR_WM	Oligodendrocytes
86869-PAR_WM	Oligodendrocytes
86887-PAR_WM	Oligodendrocytes
86894-PAR_WM	Oligodendrocytes
86907-PAR_WM	Oligodendrocytes
86938-PAR_WM	Oligodendrocytes
86987-PAR_WM	Oligodendrocytes
86988-PAR_WM	Oligodendrocytes
86997-PAR_WM	Oligodendrocytes
87010-PAR_WM	Oligodendrocytes
87033-PAR_WM	Microglia
87054-PAR_WM	Oligodendrocytes
87121-PAR_WM	Oligodendrocytes
87127-PAR_WM	Oligodendrocytes
87146-PAR_WM	Oligodendrocytes
87147-PAR_WM	Oligodendrocytes
87167-PAR_WM	Oligodendrocytes
87210-PAR_WM	Inh. Neurons
87268-PAR_WM	Microglia
87284-PAR_WM	Oligodendrocytes
87360-PAR_WM	Oligodendrocytes
87381-PAR_WM	Oligodendrocytes
87444-PAR_WM	OPCs
87448-PAR_WM	Oligodendrocytes
87467-PAR_WM	Oligodendrocytes
87485-PAR_WM	Oligodendrocytes
87493-PAR_WM	Oligodendrocytes
87510-PAR_WM	Oligodendrocytes
87516-PAR_WM	Oligodendrocytes
87520-PAR_WM	Oligodendrocytes
87551-PAR_WM	Oligodendrocytes
87560-PAR_WM	OPCs
87573-PAR_WM	Microglia
87587-PAR_WM	Oligodendrocytes
87593-PAR_WM	Oligodendrocytes
87615-PAR_WM	Oligodendrocytes
87686-PAR_WM	Oligodendrocytes
87702-PAR_WM	Oligodendrocytes
87703-PAR_WM	Oligodendrocytes
87714-PAR_WM	Oligodendrocytes
87744-PAR_WM	Oligodendrocytes
87791-PAR_WM	Astrocytes
87799-PAR_WM	VLMCs
87803-PAR_WM	Oligodendrocytes
87806-PAR_WM	Oligodendrocytes
87859-PAR_WM	Astrocytes
87885-PAR_WM	Oligodendrocytes
87937-PAR_WM	Oligodendrocytes
87939-PAR_WM	Oligodendrocytes
87984-PAR_WM	Oligodendrocytes
88027-PAR_WM	Oligodendrocytes
88034-PAR_WM	Oligodendrocytes
88062-PAR_WM	Oligodendrocytes
88073-PAR_WM	Oligodendrocytes
88163-PAR_WM	Oligodendrocytes
88194-PAR_WM	Oligodendrocytes
88206-PAR_WM	Astrocytes
88268-PAR_WM	Microglia
88269-PAR_WM	Oligodendrocytes
88291-PAR_WM	OPCs
88306-PAR_WM	Oligodendrocytes
88379-PAR_WM	Oligodendrocytes
88437-PAR_WM	Oligodendrocytes
88467-PAR_WM	Oligodendrocytes
88484-PAR_WM	Oligodendrocytes
88554-PAR_WM	Oligodendrocytes
88563-PAR_WM	Oligodendrocytes
88614-PAR_WM	Oligodendrocytes
88667-PAR_WM	Oligodendrocytes
88682-PAR_WM	Oligodendrocytes
88732-PAR_WM	Oligodendrocytes
88746-PAR_WM	Oligodendrocytes
88749-PAR_WM	Oligodendrocytes
88757-PAR_WM	Oligodendrocytes
88787-PAR_WM	Oligodendrocytes
88789-PAR_WM	Oligodendrocytes
88795-PAR_WM	Microglia
88842-PAR_WM	Oligodendrocytes
88847-PAR_WM	Oligodendrocytes
88851-PAR_WM	Oligodendrocytes
88879-PAR_WM	Oligodendrocytes
88986-PAR_WM	Oligodendrocytes
89023-PAR_WM	Oligodendrocytes
89074-PAR_WM	Oligodendrocytes
89188-PAR_WM	Oligodendrocytes
89334-PAR_WM	Astrocytes
89363-PAR_WM	Oligodendrocytes
89389-PAR_WM	Oligodendrocytes
89423-PAR_WM	Oligodendrocytes
89425-PAR_WM	Astrocytes
89450-PAR_WM	Oligodendrocytes
89538-PAR_WM	Oligodendrocytes
89547-PAR_WM	Astrocytes
89568-PAR_WM	Oligodendrocytes
89572-PAR_WM	Oligodendrocytes
89616-PAR_WM	Oligodendrocytes
89690-PAR_WM	Oligodendrocytes
89703-PAR_WM	Oligodendrocytes
89712-PAR_WM	Oligodendrocytes
89718-PAR_WM	Microglia
89730-PAR_WM	OPCs
89743-PAR_WM	Oligodendrocytes
89746-PAR_WM	Oligodendrocytes
89795-PAR_WM	Oligodendrocytes
89850-PAR_WM	Oligodendrocytes
89855-PAR_WM	Oligodendrocytes
89880-PAR_WM	Oligodendrocytes
89941-PAR_WM	Oligodendrocytes
89986-PAR_WM	Oligodendrocytes
90023-PAR_WM	Oligodendrocytes
90098-PAR_WM	Astrocytes
90130-PAR_WM	Microglia
90159-PAR_WM	Microglia
90203-PAR_WM	Oligodendrocytes
90206-PAR_WM	Oligodendrocytes
90217-PAR_WM	Oligodendrocytes
90264-PAR_WM	Oligodendrocytes
90358-PAR_WM	OPCs
90380-PAR_WM	Oligodendrocytes
90386-PAR_WM	Oligodendrocytes
90439-PAR_WM	Oligodendrocytes
90442-PAR_WM	Oligodendrocytes
90456-PAR_WM	Oligodendrocytes
90458-PAR_WM	Oligodendrocytes
90490-PAR_WM	Astrocytes
90505-PAR_WM	Oligodendrocytes
90519-PAR_WM	Oligodendrocytes
90535-PAR_WM	OPCs
90545-PAR_WM	Oligodendrocytes
90580-PAR_WM	Oligodendrocytes
90626-PAR_WM	Oligodendrocytes
90639-PAR_WM	Oligodendrocytes
90652-PAR_WM	Oligodendrocytes
90687-PAR_WM	Oligodendrocytes
90736-PAR_WM	Oligodendrocytes
90751-PAR_WM	Oligodendrocytes
90752-PAR_WM	Oligodendrocytes
90758-PAR_WM	Oligodendrocytes
90760-PAR_WM	Oligodendrocytes
90824-PAR_WM	Oligodendrocytes
90833-PAR_WM	Oligodendrocytes
90838-PAR_WM	Oligodendrocytes
90869-PAR_WM	Oligodendrocytes
90920-PAR_WM	Oligodendrocytes
90928-PAR_WM	Oligodendrocytes
90949-PAR_WM	Astrocytes
90968-PAR_WM	Oligodendrocytes
90996-PAR_WM	Oligodendrocytes
91070-PAR_WM	Oligodendrocytes
91120-PAR_WM	Oligodendrocytes
91140-PAR_WM	Oligodendrocytes
91142-PAR_WM	Microglia
91156-PAR_WM	OPCs
91192-PAR_WM	Oligodendrocytes
91250-PAR_WM	Oligodendrocytes
91256-PAR_WM	Oligodendrocytes
91334-PAR_WM	Oligodendrocytes
91342-PAR_WM	Oligodendrocytes
91405-PAR_WM	Microglia
91409-PAR_WM	Oligodendrocytes
91422-PAR_WM	OPCs
91470-PAR_WM	Oligodendrocytes
91518-PAR_WM	Oligodendrocytes
91530-PAR_WM	Oligodendrocytes
91556-PAR_WM	Oligodendrocytes
91593-PAR_WM	Microglia
91600-PAR_WM	Oligodendrocytes
91632-PAR_WM	Oligodendrocytes
91669-PAR_WM	Oligodendrocytes
91673-PAR_WM	Oligodendrocytes
91715-PAR_WM	Oligodendrocytes
91746-PAR_WM	Oligodendrocytes
91772-PAR_WM	Oligodendrocytes
91793-PAR_WM	Oligodendrocytes
91801-PAR_WM	Oligodendrocytes
91818-PAR_WM	Oligodendrocytes
91823-PAR_WM	Oligodendrocytes
91843-PAR_WM	Oligodendrocytes
91865-PAR_WM	Oligodendrocytes
91878-PAR_WM	Oligodendrocytes
91888-PAR_WM	Microglia
91961-PAR_WM	Oligodendrocytes
91985-PAR_WM	Oligodendrocytes
92033-PAR_WM	Oligodendrocytes
92048-PAR_WM	Oligodendrocytes
92086-PAR_WM	Oligodendrocytes
92097-PAR_WM	Microglia
92103-PAR_WM	Oligodendrocytes
92123-PAR_WM	Oligodendrocytes
92138-PAR_WM	Oligodendrocytes
92161-PAR_WM	Astrocytes
92220-PAR_WM	Oligodendrocytes
92224-PAR_WM	Oligodendrocytes
92243-PAR_WM	Astrocytes
92265-PAR_WM	Oligodendrocytes
92267-PAR_WM	Oligodendrocytes
92277-PAR_WM	Oligodendrocytes
92292-PAR_WM	Oligodendrocytes
92305-PAR_WM	Oligodendrocytes
92317-PAR_WM	Microglia
92319-PAR_WM	Oligodendrocytes
92455-PAR_WM	Oligodendrocytes
92472-PAR_WM	Oligodendrocytes
92600-PAR_WM	Oligodendrocytes
92651-PAR_WM	Oligodendrocytes
92686-PAR_WM	Oligodendrocytes
92714-PAR_WM	Microglia
92751-PAR_WM	Oligodendrocytes
92761-PAR_WM	Astrocytes
92772-PAR_WM	Oligodendrocytes
92814-PAR_WM	Oligodendrocytes
92857-PAR_WM	Oligodendrocytes
92862-PAR_WM	Oligodendrocytes
92908-PAR_WM	Oligodendrocytes
92922-PAR_WM	Inh. Neurons
92961-PAR_WM	Oligodendrocytes
93051-PAR_WM	Oligodendrocytes
93057-PAR_WM	Oligodendrocytes
93070-PAR_WM	Oligodendrocytes
93093-PAR_WM	Microglia
93126-PAR_WM	Oligodendrocytes
93165-PAR_WM	Oligodendrocytes
93188-PAR_WM	Oligodendrocytes
93214-PAR_WM	Astrocytes
93240-PAR_WM	Oligodendrocytes
93272-PAR_WM	Oligodendrocytes
93291-PAR_WM	Oligodendrocytes
93369-PAR_WM	Oligodendrocytes
93374-PAR_WM	Oligodendrocytes
93385-PAR_WM	Oligodendrocytes
93425-PAR_WM	Oligodendrocytes
93445-PAR_WM	Oligodendrocytes
93448-PAR_WM	OPCs
93454-PAR_WM	Oligodendrocytes
93463-PAR_WM	Microglia
93490-PAR_WM	Oligodendrocytes
93498-PAR_WM	Oligodendrocytes
93509-PAR_WM	Oligodendrocytes
93548-PAR_WM	OPCs
93566-PAR_WM	Oligodendrocytes
93613-PAR_WM	Oligodendrocytes
93673-PAR_WM	Oligodendrocytes
93709-PAR_WM	Oligodendrocytes
93710-PAR_WM	Oligodendrocytes
93732-PAR_WM	Oligodendrocytes
93735-PAR_WM	Oligodendrocytes
93766-PAR_WM	Oligodendrocytes
93782-PAR_WM	Oligodendrocytes
93783-PAR_WM	Oligodendrocytes
93792-PAR_WM	Oligodendrocytes
93809-PAR_WM	Oligodendrocytes
93824-PAR_WM	OPCs
93839-PAR_WM	Oligodendrocytes
93843-PAR_WM	Astrocytes
93871-PAR_WM	Oligodendrocytes
93879-PAR_WM	Oligodendrocytes
93885-PAR_WM	Oligodendrocytes
93890-PAR_WM	Oligodendrocytes
93936-PAR_WM	Oligodendrocytes
93969-PAR_WM	Oligodendrocytes
94021-PAR_WM	Oligodendrocytes
94047-PAR_WM	Astrocytes
94057-PAR_WM	Oligodendrocytes
94067-PAR_WM	Oligodendrocytes
94073-PAR_WM	Oligodendrocytes
94074-PAR_WM	Oligodendrocytes
94124-PAR_WM	Oligodendrocytes
94140-PAR_WM	Oligodendrocytes
94163-PAR_WM	Oligodendrocytes
94191-PAR_WM	Oligodendrocytes
94214-PAR_WM	Oligodendrocytes
94271-PAR_WM	Oligodendrocytes
94281-PAR_WM	Oligodendrocytes
94284-PAR_WM	Oligodendrocytes
94309-PAR_WM	Oligodendrocytes
94373-PAR_WM	Oligodendrocytes
94383-PAR_WM	Oligodendrocytes
94416-PAR_WM	Oligodendrocytes
94420-PAR_WM	Oligodendrocytes
94434-PAR_WM	Oligodendrocytes
94493-PAR_WM	Astrocytes
94507-PAR_WM	Oligodendrocytes
94564-PAR_WM	Oligodendrocytes
94614-PAR_WM	Oligodendrocytes
94675-PAR_WM	Oligodendrocytes
94686-PAR_WM	Oligodendrocytes
94699-PAR_WM	Oligodendrocytes
94715-PAR_WM	Oligodendrocytes
94730-PAR_WM	Oligodendrocytes
12-PF_GM	Astrocytes
56-PF_GM	Oligodendrocytes
66-PF_GM	Astrocytes
87-PF_GM	Astrocytes
98-PF_GM	Astrocytes
100-PF_GM	Inh. Neurons
108-PF_GM	Microglia
128-PF_GM	OPCs
138-PF_GM	Oligodendrocytes
148-PF_GM	Astrocytes
152-PF_GM	Inh. Neurons
195-PF_GM	Oligodendrocytes
211-PF_GM	Oligodendrocytes
227-PF_GM	Oligodendrocytes
234-PF_GM	Astrocytes
254-PF_GM	Oligodendrocytes
255-PF_GM	Oligodendrocytes
275-PF_GM	Astrocytes
299-PF_GM	Oligodendrocytes
346-PF_GM	Inh. Neurons
373-PF_GM	Microglia
409-PF_GM	Oligodendrocytes
410-PF_GM	Astrocytes
411-PF_GM	Oligodendrocytes
440-PF_GM	Astrocytes
461-PF_GM	Oligodendrocytes
466-PF_GM	Astrocytes
509-PF_GM	Oligodendrocytes
536-PF_GM	Oligodendrocytes
565-PF_GM	Microglia
574-PF_GM	Oligodendrocytes
640-PF_GM	Astrocytes
643-PF_GM	Oligodendrocytes
652-PF_GM	Oligodendrocytes
674-PF_GM	Oligodendrocytes
678-PF_GM	Oligodendrocytes
691-PF_GM	Oligodendrocytes
693-PF_GM	Astrocytes
712-PF_GM	OPCs
765-PF_GM	Astrocytes
775-PF_GM	Oligodendrocytes
800-PF_GM	VLMCs
808-PF_GM	Astrocytes
821-PF_GM	Oligodendrocytes
845-PF_GM	Oligodendrocytes
853-PF_GM	Astrocytes
861-PF_GM	Astrocytes
884-PF_GM	Astrocytes
912-PF_GM	Oligodendrocytes
933-PF_GM	OPCs
935-PF_GM	Oligodendrocytes
939-PF_GM	Oligodendrocytes
952-PF_GM	Astrocytes
957-PF_GM	Microglia
1019-PF_GM	Oligodendrocytes
1021-PF_GM	Oligodendrocytes
1035-PF_GM	OPCs
1043-PF_GM	Astrocytes
1083-PF_GM	Oligodendrocytes
1085-PF_GM	Oligodendrocytes
1088-PF_GM	Astrocytes
1165-PF_GM	VLMCs
1179-PF_GM	Astrocytes
1207-PF_GM	Oligodendrocytes
1208-PF_GM	Oligodendrocytes
1223-PF_GM	Oligodendrocytes
1250-PF_GM	Astrocytes
1299-PF_GM	Astrocytes
1306-PF_GM	Oligodendrocytes
1314-PF_GM	Oligodendrocytes
1318-PF_GM	Astrocytes
1328-PF_GM	Oligodendrocytes
1338-PF_GM	Endothelial
1368-PF_GM	OPCs
1392-PF_GM	Oligodendrocytes
1401-PF_GM	Astrocytes
1442-PF_GM	Oligodendrocytes
1461-PF_GM	Astrocytes
1533-PF_GM	Astrocytes
1574-PF_GM	OPCs
1606-PF_GM	Astrocytes
1633-PF_GM	Oligodendrocytes
1635-PF_GM	Oligodendrocytes
1639-PF_GM	Oligodendrocytes
1656-PF_GM	Astrocytes
1664-PF_GM	Inh. Neurons
1672-PF_GM	Oligodendrocytes
1697-PF_GM	Astrocytes
1708-PF_GM	OPCs
1709-PF_GM	Microglia
1758-PF_GM	OPCs
1759-PF_GM	Oligodendrocytes
1761-PF_GM	Microglia
1766-PF_GM	Astrocytes
1767-PF_GM	Astrocytes
1768-PF_GM	Oligodendrocytes
1779-PF_GM	OPCs
1798-PF_GM	Astrocytes
1822-PF_GM	Astrocytes
1831-PF_GM	Oligodendrocytes
1841-PF_GM	Astrocytes
1871-PF_GM	OPCs
1905-PF_GM	Oligodendrocytes
1927-PF_GM	Oligodendrocytes
1931-PF_GM	OPCs
1938-PF_GM	Oligodendrocytes
1959-PF_GM	OPCs
1968-PF_GM	Microglia
1987-PF_GM	Inh. Neurons
2018-PF_GM	Astrocytes
2023-PF_GM	Astrocytes
2031-PF_GM	OPCs
2078-PF_GM	Microglia
2081-PF_GM	Astrocytes
2093-PF_GM	Oligodendrocytes
2101-PF_GM	Astrocytes
2113-PF_GM	Oligodendrocytes
2149-PF_GM	Oligodendrocytes
2183-PF_GM	Oligodendrocytes
2246-PF_GM	Oligodendrocytes
2294-PF_GM	Astrocytes
2308-PF_GM	Oligodendrocytes
2332-PF_GM	Oligodendrocytes
2344-PF_GM	Oligodendrocytes
2351-PF_GM	Oligodendrocytes
2371-PF_GM	Oligodendrocytes
2381-PF_GM	Oligodendrocytes
2393-PF_GM	Astrocytes
2414-PF_GM	OPCs
2433-PF_GM	Oligodendrocytes
2451-PF_GM	Microglia
2458-PF_GM	Astrocytes
2506-PF_GM	Oligodendrocytes
2541-PF_GM	Oligodendrocytes
2542-PF_GM	Oligodendrocytes
2576-PF_GM	Oligodendrocytes
2600-PF_GM	Oligodendrocytes
2672-PF_GM	Astrocytes
2674-PF_GM	Oligodendrocytes
2685-PF_GM	VLMCs
2688-PF_GM	Inh. Neurons
2701-PF_GM	OPCs
2748-PF_GM	Oligodendrocytes
2776-PF_GM	Astrocytes
2787-PF_GM	Astrocytes
2858-PF_GM	Astrocytes
2866-PF_GM	Astrocytes
2911-PF_GM	Inh. Neurons
2935-PF_GM	Oligodendrocytes
2940-PF_GM	Oligodendrocytes
2943-PF_GM	Oligodendrocytes
2954-PF_GM	Oligodendrocytes
2961-PF_GM	Oligodendrocytes
2985-PF_GM	Oligodendrocytes
3007-PF_GM	Astrocytes
3009-PF_GM	Inh. Neurons
3010-PF_GM	Oligodendrocytes
3026-PF_GM	Oligodendrocytes
3028-PF_GM	Astrocytes
3072-PF_GM	Microglia
3077-PF_GM	Oligodendrocytes
3079-PF_GM	Oligodendrocytes
3081-PF_GM	Astrocytes
3095-PF_GM	Astrocytes
3150-PF_GM	Astrocytes
3175-PF_GM	Oligodendrocytes
3200-PF_GM	Oligodendrocytes
3220-PF_GM	Astrocytes
3225-PF_GM	Astrocytes
3239-PF_GM	Astrocytes
3258-PF_GM	Oligodendrocytes
3262-PF_GM	Astrocytes
3285-PF_GM	Oligodendrocytes
3311-PF_GM	Oligodendrocytes
3321-PF_GM	Astrocytes
3333-PF_GM	Oligodendrocytes
3340-PF_GM	Oligodendrocytes
3345-PF_GM	Microglia
3370-PF_GM	Astrocytes
3413-PF_GM	Oligodendrocytes
3449-PF_GM	OPCs
3455-PF_GM	VLMCs
3485-PF_GM	Microglia
3507-PF_GM	Oligodendrocytes
3510-PF_GM	OPCs
3520-PF_GM	Inh. Neurons
3524-PF_GM	Inh. Neurons
3527-PF_GM	Astrocytes
3528-PF_GM	OPCs
3538-PF_GM	Astrocytes
3554-PF_GM	Microglia
3559-PF_GM	Oligodendrocytes
3568-PF_GM	Astrocytes
3589-PF_GM	OPCs
3595-PF_GM	Oligodendrocytes
3606-PF_GM	Astrocytes
3646-PF_GM	Astrocytes
3662-PF_GM	Oligodendrocytes
3712-PF_GM	Astrocytes
3721-PF_GM	Microglia
3778-PF_GM	Astrocytes
3813-PF_GM	Microglia
3820-PF_GM	Astrocytes
3843-PF_GM	Inh. Neurons
3853-PF_GM	Astrocytes
3921-PF_GM	Oligodendrocytes
3933-PF_GM	Oligodendrocytes
3939-PF_GM	Inh. Neurons
3951-PF_GM	Astrocytes
3997-PF_GM	OPCs
4000-PF_GM	Astrocytes
4009-PF_GM	Oligodendrocytes
4011-PF_GM	Inh. Neurons
4012-PF_GM	OPCs
4014-PF_GM	Microglia
4016-PF_GM	OPCs
4105-PF_GM	Astrocytes
4114-PF_GM	Oligodendrocytes
4115-PF_GM	Microglia
4120-PF_GM	Microglia
4180-PF_GM	Oligodendrocytes
4207-PF_GM	OPCs
4211-PF_GM	Inh. Neurons
4259-PF_GM	Astrocytes
4323-PF_GM	Oligodendrocytes
4334-PF_GM	OPCs
4346-PF_GM	Oligodendrocytes
4359-PF_GM	Astrocytes
4360-PF_GM	Astrocytes
4375-PF_GM	OPCs
4376-PF_GM	Oligodendrocytes
4388-PF_GM	Astrocytes
4410-PF_GM	Inh. Neurons
4416-PF_GM	Microglia
4421-PF_GM	Astrocytes
4478-PF_GM	Astrocytes
4488-PF_GM	Oligodendrocytes
4501-PF_GM	Exc. Neurons
4502-PF_GM	Oligodendrocytes
4518-PF_GM	Astrocytes
4543-PF_GM	Inh. Neurons
4576-PF_GM	Oligodendrocytes
4578-PF_GM	Oligodendrocytes
4586-PF_GM	Oligodendrocytes
4606-PF_GM	Oligodendrocytes
4620-PF_GM	Astrocytes
4677-PF_GM	Oligodendrocytes
4688-PF_GM	Oligodendrocytes
4699-PF_GM	Microglia
4702-PF_GM	OPCs
4704-PF_GM	Oligodendrocytes
4742-PF_GM	OPCs
4745-PF_GM	Astrocytes
4750-PF_GM	Oligodendrocytes
4754-PF_GM	Oligodendrocytes
4761-PF_GM	Oligodendrocytes
4780-PF_GM	OPCs
4785-PF_GM	Oligodendrocytes
4805-PF_GM	Astrocytes
4836-PF_GM	Astrocytes
4848-PF_GM	Exc. Neurons
4853-PF_GM	Astrocytes
4887-PF_GM	Oligodendrocytes
4890-PF_GM	Astrocytes
4935-PF_GM	Astrocytes
4945-PF_GM	Astrocytes
4955-PF_GM	Oligodendrocytes
4963-PF_GM	Astrocytes
4980-PF_GM	Astrocytes
5029-PF_GM	Astrocytes
5033-PF_GM	Astrocytes
5042-PF_GM	Microglia
5050-PF_GM	Microglia
5061-PF_GM	Astrocytes
5064-PF_GM	Oligodendrocytes
5114-PF_GM	Astrocytes
5119-PF_GM	Oligodendrocytes
5144-PF_GM	Astrocytes
5145-PF_GM	Oligodendrocytes
5150-PF_GM	Astrocytes
5160-PF_GM	Microglia
5172-PF_GM	Astrocytes
5211-PF_GM	Astrocytes
5215-PF_GM	Inh. Neurons
5228-PF_GM	Oligodendrocytes
5235-PF_GM	Oligodendrocytes
5255-PF_GM	Astrocytes
5259-PF_GM	Astrocytes
5278-PF_GM	OPCs
5321-PF_GM	Astrocytes
5323-PF_GM	Oligodendrocytes
5333-PF_GM	Oligodendrocytes
5357-PF_GM	Astrocytes
5376-PF_GM	Oligodendrocytes
5389-PF_GM	Oligodendrocytes
5444-PF_GM	Inh. Neurons
5477-PF_GM	Astrocytes
5492-PF_GM	Astrocytes
5503-PF_GM	Astrocytes
5549-PF_GM	Microglia
5557-PF_GM	Oligodendrocytes
5590-PF_GM	Oligodendrocytes
5615-PF_GM	Astrocytes
5671-PF_GM	OPCs
5682-PF_GM	OPCs
5691-PF_GM	Oligodendrocytes
5698-PF_GM	Oligodendrocytes
5716-PF_GM	Inh. Neurons
5740-PF_GM	Oligodendrocytes
5767-PF_GM	Oligodendrocytes
5785-PF_GM	Oligodendrocytes
5807-PF_GM	Oligodendrocytes
5823-PF_GM	Oligodendrocytes
5840-PF_GM	Oligodendrocytes
5846-PF_GM	Astrocytes
5872-PF_GM	Inh. Neurons
5893-PF_GM	Oligodendrocytes
5895-PF_GM	Astrocytes
5955-PF_GM	Oligodendrocytes
6033-PF_GM	OPCs
6042-PF_GM	Oligodendrocytes
6045-PF_GM	Oligodendrocytes
6046-PF_GM	Astrocytes
6059-PF_GM	OPCs
6064-PF_GM	Oligodendrocytes
6068-PF_GM	Astrocytes
6090-PF_GM	OPCs
6185-PF_GM	Inh. Neurons
6202-PF_GM	Oligodendrocytes
6206-PF_GM	OPCs
6212-PF_GM	Astrocytes
6228-PF_GM	Astrocytes
6264-PF_GM	Oligodendrocytes
6274-PF_GM	Astrocytes
6282-PF_GM	Astrocytes
6325-PF_GM	Oligodendrocytes
6348-PF_GM	Oligodendrocytes
6349-PF_GM	Oligodendrocytes
6360-PF_GM	Astrocytes
6386-PF_GM	OPCs
6405-PF_GM	Oligodendrocytes
6417-PF_GM	Oligodendrocytes
6454-PF_GM	VLMCs
6485-PF_GM	Oligodendrocytes
6500-PF_GM	Oligodendrocytes
6521-PF_GM	Oligodendrocytes
6536-PF_GM	Oligodendrocytes
6542-PF_GM	OPCs
6569-PF_GM	Oligodendrocytes
6571-PF_GM	Microglia
6574-PF_GM	Astrocytes
6620-PF_GM	OPCs
6654-PF_GM	Astrocytes
6665-PF_GM	Oligodendrocytes
6683-PF_GM	Oligodendrocytes
6709-PF_GM	Oligodendrocytes
6716-PF_GM	Oligodendrocytes
6725-PF_GM	Oligodendrocytes
6753-PF_GM	OPCs
6769-PF_GM	Oligodendrocytes
6773-PF_GM	Oligodendrocytes
6805-PF_GM	Astrocytes
6872-PF_GM	Astrocytes
6887-PF_GM	Oligodendrocytes
6908-PF_GM	Astrocytes
6910-PF_GM	Oligodendrocytes
6911-PF_GM	Astrocytes
6953-PF_GM	Astrocytes
6985-PF_GM	Oligodendrocytes
6991-PF_GM	Oligodendrocytes
6997-PF_GM	Microglia
6999-PF_GM	Oligodendrocytes
7012-PF_GM	Oligodendrocytes
7041-PF_GM	Astrocytes
7052-PF_GM	Astrocytes
7064-PF_GM	Oligodendrocytes
7099-PF_GM	Astrocytes
7104-PF_GM	Inh. Neurons
7257-PF_GM	Astrocytes
7285-PF_GM	OPCs
